C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_55_639.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_55_639.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_55_639.jpg, 0, 0, 0, 8.202298E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_55_743.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_55_743.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_55_743.jpg, 0, 0, 0, 7.796613E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_55_846.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_55_846.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_55_846.jpg, 0, 0, 0, 8.238339E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_55_950.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_55_950.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_55_950.jpg, 0, 0, 0, 7.909116E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_055.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_055.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_055.jpg, 0, 0, 0, 7.845408E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_157.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_157.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_157.jpg, 0, 0, 0, 7.835055E-05
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_369.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_369.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_369.jpg, 0, 0.5933259, 0, 1.318358
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_457.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_457.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_457.jpg, 0, 0.9004763, 0, 2.319028
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_559.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_559.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_559.jpg, 0, 1, 0, 3.497768
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_661.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_661.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_661.jpg, 0, 1, 0, 4.670537
C:\Users\Administrator\Desktop\Data\IMG\center_2019_04_03_20_45_56_766.jpg, C:\Users\Administrator\Desktop\Data\IMG\left_2019_04_03_20_45_56_766.jpg, C:\Users\Administrator\Desktop\Data\IMG\right_2019_04_03_20_45_56_766.jpg, 0, 1, 0, 5.829725
